,user_id,movie_id,rating,title,release_date,IMDb URL,genre,age,gender,interest
0,810,1,4.912862,Toy Story (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),"""['Animation', """"Children's""""",55,F,other
1,688,1,4.8960257,Toy Story (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),"""['Animation', """"Children's""""",37,F,administrator
2,173,1,4.82556,Toy Story (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),"""['Animation', """"Children's""""",56,M,other
3,330,1,4.7818465,Toy Story (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),"""['Animation', """"Children's""""",35,F,educator
4,357,1,4.761861,Toy Story (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),"""['Animation', """"Children's""""",26,M,executive
5,688,2,4.3472404,GoldenEye (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?GoldenEye%20(1995),"['Action', 'Adventure', 'Thriller']",37,F,administrator
6,507,2,4.3053136,GoldenEye (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?GoldenEye%20(1995),"['Action', 'Adventure', 'Thriller']",18,F,writer
7,907,2,4.287385,GoldenEye (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?GoldenEye%20(1995),"['Action', 'Adventure', 'Thriller']",25,F,other
8,810,2,4.2751207,GoldenEye (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?GoldenEye%20(1995),"['Action', 'Adventure', 'Thriller']",55,F,other
9,137,2,4.2480373,GoldenEye (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?GoldenEye%20(1995),"['Action', 'Adventure', 'Thriller']",50,M,educator
10,472,3,4.416803,Four Rooms (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),['Thriller'],24,M,student
11,628,3,4.403816,Four Rooms (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),['Thriller'],13,M,none
12,427,3,4.278224,Four Rooms (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),['Thriller'],51,M,doctor
13,688,3,4.2449255,Four Rooms (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),['Thriller'],37,F,administrator
14,507,3,4.204919,Four Rooms (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),['Thriller'],18,F,writer
15,118,4,4.2248187,Get Shorty (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),"['Action', 'Comedy', 'Drama']",21,M,administrator
16,928,4,4.1793404,Get Shorty (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),"['Action', 'Comedy', 'Drama']",21,M,student
17,287,4,4.1549654,Get Shorty (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),"['Action', 'Comedy', 'Drama']",21,M,salesman
